"","actual","prediction","addValue"
"1",0.537,0.497758019777352,-0.00224198022264765
"2",0.537,0.497965812224136,-0.00203418777586417
"3",0.537,0.512493731632643,0.0124937316326432
"4",0.537,0.497905285952787,-0.00209471404721262
"5",0.537,0.497965721675895,-0.00203427832410508
"6",0.537,0.497965679240853,-0.00203432075914706
"7",0.537,0.497266104067898,-0.00273389593210205
"8",0.537,0.497908061059022,-0.00209193894097826
"9",0.537,0.51902649013287,0.0190264901328697
"10",0.537,0.512493731632643,0.0124937316326432
"11",0.537,0.497965805628319,-0.00203419437168095
"12",0.537,0.4971024559593,-0.00289754404069981
"13",0.537,0.494682790611833,-0.00531720938816749
"14",0.537,0.496689621868476,-0.00331037813152424
"15",0.537,0.497965777627045,-0.00203422237295453
"16",0.537,0.497965812224136,-0.00203418777586417
"17",0.537,0.497965328806094,-0.00203467119390555
"18",0.537,0.498433923649594,-0.00156607635040601
"19",0.537,0.497961973266366,-0.00203802673363446
"20",0.537,0.497864862718184,-0.00213513728181564
"21",0.537,0.49796579370896,-0.00203420629103956
"22",0.537,0.497965804205384,-0.0020341957946155
"23",0.537,0.5031107906017,0.00311079060169983
"24",0.537,0.496979870785563,-0.00302012921443706
"25",0.537,0.497963989936317,-0.00203601006368326
"26",0.537,0.497963152722908,-0.00203684727709214
"27",0.537,0.495190184078867,-0.00480981592113294
"28",0.537,0.497965810283989,-0.00203418971601105
"29",0.537,0.497948923140366,-0.00205107685963368
"30",0.537,0.517926579699012,0.017926579699012
"31",0.537,0.497793281677634,-0.00220671832236624
"32",0.537,0.497965812224136,-0.00203418777586417
"33",0.537,0.497965754553093,-0.00203424544690672
"34",0.537,0.512493731632643,0.0124937316326432
"35",0.537,0.497965812223947,-0.00203418777605302
"36",0.537,0.502506255533661,0.00250625553366057
"37",0.537,0.497965812224136,-0.00203418777586417
"38",0.537,0.497965812224136,-0.00203418777586417
"39",0.537,0.497965812224128,-0.002034187775872
"40",0.537,0.495204702954532,-0.00479529704546799
"41",0.537,0.497965775608502,-0.00203422439149809
"42",0.537,0.493711259795279,-0.0062887402047207
"43",0.537,0.494415572543163,-0.00558442745683657
"44",0.537,0.493708621014008,-0.00629137898599164
"45",0.537,0.493708637662454,-0.00629136233754612
"46",0.537,0.501880552603327,0.00188055260332676
"47",0.537,0.49381253607969,-0.00618746392031044
"48",0.537,0.497965812224136,-0.00203418777586417
"49",0.537,0.54173256309711,0.0417325630971104
"50",0.537,0.500334584163331,0.000334584163331431
"51",0.537,0.497965812224136,-0.00203418777586417
"52",0.537,0.504912194366891,0.00491219436689139
"53",0.537,0.497962605497551,-0.00203739450244894
"54",0.537,0.496944270583626,-0.003055729416374
"55",0.537,0.497907926823599,-0.00209207317640137
"56",0.537,0.493709072403974,-0.00629092759602573
"57",0.537,0.446854004344206,-0.0531459956557939
"58",0.537,0.497965812224136,-0.00203418777586417
"59",0.537,0.493791160023122,-0.00620883997687799
"60",0.537,0.493708872715673,-0.00629112728432712
"61",0.537,0.495986082937373,-0.00401391706262666
"62",0.537,0.49370862089243,-0.00629137910756955
"63",0.537,0.497965812224136,-0.00203418777586417
"64",0.537,0.493712396496672,-0.00628760350332774
"65",0.537,0.497965812224136,-0.00203418777586417
"66",0.537,0.49492603098577,-0.00507396901422991
"67",0.537,0.497965812224136,-0.00203418777586417
"68",0.537,0.497965812224136,-0.00203418777586417
"69",0.537,0.499969456825647,-0.000030543174353026
"70",0.537,0.497965812224136,-0.00203418777586417
"71",0.537,0.497979086666288,-0.00202091333371213
"72",0.537,0.496959811750945,-0.00304018824905505
"73",0.537,0.515996237031994,0.015996237031994
"74",0.537,0.494191495440437,-0.00580850455956294
"75",0.537,0.494166786438675,-0.00583321356132543
"76",0.537,0.51065688273387,0.0106568827338702
"77",0.537,0.497965812224136,-0.00203418777586417
"78",41.349,38.4071260839334,-0.0928739160666099
